"docketId","docketType","lastModifiedDate","agencyId","title","objectId"
"EPA-R06-OAR-2005-TX-0034","Nonrulemaking","2007-09-22T09:17:31Z","EPA","TX040 Texas: National Emission Standards for Hazardous Air Pollutants; Delegation of Authority","0b000064800a7424"
"EPA-R06-OAR-2004-TX-0004","Nonrulemaking","2007-09-22T09:20:29Z","EPA","TX004 Texas: National Emission Standards for Hazardous Air Pollutants; Delegation of Authority to Texas","0b000064800a9d6f"
"EPA-R03-RCRA-2008-0256","Nonrulemaking","2008-06-05T09:31:28Z","EPA","Virginia-Revision to the Final Authorization of the State Hazardous Waste Management Program","0b00006480409eac"
"EPA-R09-OAR-2007-1112","Nonrulemaking","2008-09-22T11:27:18Z","EPA","Draft Prevention of Significant Deterioration (PSD) Permit for the Morro Bay Power Plant","0b00006480360b14"
"EPA-R09-OAR-2008-0406","Nonrulemaking","2008-09-22T11:29:07Z","EPA","Draft Initial Prevention of Significant Deterioration (PSD) Permit for the Victorville II Hybrid Power Project","0b0000648054c40f"
"EPA-R09-OAR-2007-0951","Nonrulemaking","2008-09-22T11:33:33Z","EPA","Modification to Prevention of Significant Deterioration (PSD) Permit for Covanta Energy, Mount Lassen Power","0b00006480284cf7"
"EPA-R09-OAR-2007-0964","Nonrulemaking","2008-09-25T15:33:09Z","EPA","Initial Prevention of Significant Deterioration (PSD) Permit for Dynegy Morro Bay, LLC, Morro Bay Power Plant Modernization Project","0b000064802871a6"
"EPA-R09-OAR-2008-0765","Nonrulemaking","2010-03-15T12:04:28Z","EPA","Final Permit Issuance: Initial PSD Permit for Victorville 2 Hybrid Power Project","0b00006480739cd0"
"EPA-R09-OAR-2009-0697","Nonrulemaking","2010-03-29T21:31:46Z","EPA","Colusa Generating Station - PSD Permit Revision","0b00006480a1c729"
"EPA-R09-OAR-2010-0226","Nonrulemaking","2010-12-10T15:16:35Z","EPA","Prevention of Significant Deterioration Permit Modification of Sierra Pacific Industries - Loyalton Project (SAC 87-01-A)","0b00006480ab6501"
"EPA-R06-OAR-2005-NM-0002","Rulemaking","2011-06-12T21:21:14Z","EPA","NM005 New Mexico: San Juan County, New Mexico, Early Action Compact Plan.","0b000064800a936a"
"EPA-R05-OAR-2005-IN-0010","Rulemaking","2011-06-12T21:21:14Z","EPA","Vigo County, Indiana 8-Hour Ozone Redesignation","0b000064800a742b"
"EPA-R06-OAR-2005-NM-0007","Rulemaking","2011-06-12T21:21:15Z","EPA","NM010 New Mexico Albuquerque/Bernalillo County Amendments to Part 3 (20.11.3 NMAC), Transportation Conformity.","0b000064800a9128"
"EPA-R08-OAR-2004-CO-0004","Rulemaking","2011-06-12T21:21:15Z","EPA","Approval and Promulgation of Air Quality Implementation Plans; State of Colorado; Greeley Revised Carbon Monoxide Maintenance Plan and Approval of Related Revisions.","0b000064800a837c"
"EPA-R06-OAR-2005-NM-0003","Rulemaking","2011-06-12T21:21:15Z","EPA","NM006 New Mexico Albuquerque/Bernalillo County Air Quality Control Board Regulations: Part 7 (20.11.7 NMAC) Variance Procedure; and Part 8 (20.11.8 NMAC) Ambient Air Quality Standards.","0b000064800a932b"
"EPA-R06-OAR-2005-LA-0004","Rulemaking","2011-06-12T21:21:15Z","EPA","LA006 Louisiana: National Emission Standards for Hazardous Air Pollutants; Delegation of Authority to Louisiana","0b000064800a95cc"
"EPA-R05-OAR-2004-IL-0003","Rulemaking","2011-06-12T21:21:27Z","EPA","Central Illinois Light Company-Edwards Station SO2 Emission Limit","0b000064800a7ca2"
"EPA-R05-OAR-2006-0004","Rulemaking","2011-06-12T21:21:48Z","EPA","Indiana Ozone SIP Revision Updating the Definitions of VOC and HAP","0b00006480107249"
"EPA-R05-OAR-2006-0002","Rulemaking","2011-06-12T21:21:48Z","EPA","Lake County, Indiana PM10 SIP Revision for ASF Keystone, Inc.","0b00006480107200"
"EPA-R08-OAR-2006-0210","Rulemaking","2011-06-12T21:21:48Z","EPA","Approval and Promulgation of Air Quality Implementation Plans; State of Utah; Revision to Utah's Definition of Clearing Index for Open Burning Rule.","0b0000648013ad3d"
"EPA-R05-OAR-2006-0305","Rulemaking","2011-06-12T21:21:48Z","EPA","South Bend, Indiana 8-hour Ozone Redesignation","0b0000648014fd5a"
"EPA-R08-OAR-2006-0163","Rulemaking","2011-06-12T21:21:48Z","EPA","Approval and Promulgation of Air Quality Implementation Plans; State of Montana; Missoula Carbon Monoxide Redesignation to Attainment and Designation of Areas for Air Quality Planning Purposes, and Approval of Related Revisions.","0b00006480133e70"
"EPA-R08-OAR-2006-0502","Rulemaking","2011-06-12T21:21:49Z","EPA","Approval and Promulgation of Air Quality Implementation; North Dakota; Revisions to New Source Review Rules","0b0000648017e5b1"
"EPA-R05-OAR-2006-0459","Rulemaking","2011-06-12T21:21:49Z","EPA","LaPorte County, Indiana 8-hour Ozone Redesignation","0b00006480170756"
